,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,total_ex,mean,normalized_mean,normalized_theta
160,A1G187YBG0DVMQ,13,nonSeqPartial,0,0.7,9,1,B,15,5,0.80,0.10000000000000009,0.0,2.6,yes,20,0.75,0.25,0.3
161,A1G187YBG0DVMQ,14,nonSeqFull,0,0.3,9,1,B,3,17,0.40,0.10000000000000003,0.0,2.6,yes,20,0.15,0.85,0.7
162,A1G187YBG0DVMQ,15,seqFeedback,0,0.7,1,9,A,7,3,0.40,,,2.6,yes,10,0.7,0.7,0.7
163,A1G187YBG0DVMQ,15,seqFeedback,1,0.7,1,9,A,20,0,0.70,0.0,0.4,2.6,yes,20,1.0,1.0,0.7
164,A1NKBXOTZAI1YK,0,nonSeqPartial,0,0.3,1,9,A,2,8,0.15,0.15,0.0,3.2,yes,10,0.2,0.2,0.3
165,A1NKBXOTZAI1YK,1,seqNoFeedback,0,0.3,1,9,A,3,7,,,,3.2,yes,10,0.3,0.3,0.3
166,A1NKBXOTZAI1YK,1,seqNoFeedback,1,0.3,1,9,A,3,7,0.23,0.06999999999999998,0.5,3.2,yes,10,0.3,0.3,0.3
167,A1NKBXOTZAI1YK,2,seqFeedback,0,0.3,1,9,A,3,7,0.20,,,3.2,yes,10,0.3,0.3,0.3
168,A1NKBXOTZAI1YK,2,seqFeedback,1,0.3,1,9,A,3,7,0.23,0.06999999999999998,0.5,3.2,yes,10,0.3,0.3,0.3
169,A1NKBXOTZAI1YK,3,nonSeqFull,0,0.3,1,9,A,4,6,0.25,0.04999999999999999,0.6,3.2,yes,10,0.4,0.4,0.3
170,A1NKBXOTZAI1YK,4,nonSeqPartial,0,0.3,9,1,B,3,7,0.60,0.3,0.0,3.2,yes,10,0.3,0.7,0.7
171,A1NKBXOTZAI1YK,5,seqNoFeedback,0,0.3,9,1,B,3,7,,,,3.2,yes,10,0.3,0.7,0.7
172,A1NKBXOTZAI1YK,5,seqNoFeedback,1,0.3,9,1,B,3,7,0.50,0.2,0.0,3.2,yes,10,0.3,0.7,0.7
173,A1NKBXOTZAI1YK,6,nonSeqFull,0,0.7,1,9,A,4,6,0.25,0.44999999999999996,0.0,3.2,yes,10,0.4,0.4,0.7
174,A1NKBXOTZAI1YK,7,seqFeedback,0,0.3,9,1,B,4,6,0.65,,,3.2,yes,10,0.4,0.6,0.7
175,A1NKBXOTZAI1YK,7,seqFeedback,1,0.3,9,1,B,0,10,0.43,0.13,0.0,3.2,yes,10,0.0,1.0,0.7
