subject,run,block_idx,ex_idx,first_movement,start,onset,problem,order,example,rating
2,8,3,2,"[0, 5]","[0, 5]",284.1,1,"['C', 'D', 'A', 'B']","[5, 2]",2.0
2,9,0,0,"[0, 4]","[0, 5]",30.0,20,"['B', 'D', 'A', 'C']","[2, 2]",2.0
2,9,0,1,"[0, 4]","[0, 5]",44.400000000000006,20,"['B', 'D', 'A', 'C']","[1, 3]",2.0
2,9,0,2,"[0, 4]","[0, 5]",58.400000000000006,20,"['B', 'D', 'A', 'C']","[2, 3]",0.0
2,9,1,0,"[4, 5]","[5, 5]",102.60000000000001,10,"['D', 'C', 'A', 'B']","[1, 2]",2.0
2,9,1,1,"[4, 5]","[5, 5]",116.05000000000001,10,"['D', 'C', 'A', 'B']","[4, 1]",4.0
2,9,1,2,"[4, 5]","[5, 5]",131.15,10,"['D', 'C', 'A', 'B']","[5, 1]",4.0
2,9,2,0,"[4, 0]","[5, 0]",176.7,16,"['C', 'B', 'D', 'A']","[1, 2]",1.0
2,9,2,1,"[4, 0]","[5, 0]",191.9,16,"['C', 'B', 'D', 'A']","[4, 1]",2.0
2,9,2,2,"[4, 0]","[5, 0]",207.3,16,"['C', 'B', 'D', 'A']","[3, 0]",2.0
2,9,3,0,"[0, 1]","[0, 0]",254.55,38,"['B', 'A', 'C', 'D']","[0, 2]",1.0
2,9,3,1,"[0, 1]","[0, 0]",269.50000000000006,38,"['B', 'A', 'C', 'D']","[0, 4]",4.0
2,9,3,2,"[0, 1]","[0, 0]",283.05000000000007,38,"['B', 'A', 'C', 'D']","[1, 4]",4.0
2,10,0,0,"[0, 1]","[0, 0]",30.0,8,"['A', 'D', 'C', 'B']","[4, 2]",1.0
2,10,0,1,"[0, 1]","[0, 0]",44.15,8,"['A', 'D', 'C', 'B']","[5, 2]",1.0
2,10,0,2,"[0, 1]","[0, 0]",57.449999999999996,8,"['A', 'D', 'C', 'B']","[1, 1]",1.0
2,10,1,0,"[5, 4]","[5, 5]",104.74999999999999,26,"['A', 'C', 'D', 'B']","[4, 0]",2.0
2,10,1,1,"[5, 4]","[5, 5]",120.94999999999999,26,"['A', 'C', 'D', 'B']","[2, 1]",2.0
2,10,1,2,"[5, 4]","[5, 5]",135.7,26,"['A', 'C', 'D', 'B']","[2, 2]",2.0
2,10,2,0,"[5, 1]","[5, 0]",180.45,23,"['B', 'A', 'D', 'C']","[4, 3]",1.0
2,10,2,1,"[5, 1]","[5, 0]",196.14999999999998,23,"['B', 'A', 'D', 'C']","[0, 3]",2.0
