,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,n_attention_passed,total_ex,mean,normalized_mean,normalized_theta
147,A176PLYJ2VNRII,4,nonSeqFull,0,0.3,1,9,A,5,5,0.30,0.0,0.6,4.1,yes,3,10,0.5,0.5,0.3
148,A176PLYJ2VNRII,5,nonSeqPartial,0,0.3,9,1,B,6,14,0.50,0.2,0.0,4.1,yes,3,20,0.3,0.7,0.7
149,A176PLYJ2VNRII,6,seqFeedback,0,0.7,9,1,B,21,9,0.75,,,4.1,yes,3,30,0.7,0.30000000000000004,0.3
150,A176PLYJ2VNRII,6,seqFeedback,1,0.7,9,1,B,14,6,0.73,0.030000000000000027,0.2,4.1,yes,3,20,0.7,0.30000000000000004,0.3
151,A176PLYJ2VNRII,7,nonSeqPartial,0,0.3,1,9,A,15,35,0.27,0.02999999999999997,0.2,4.1,yes,3,50,0.3,0.3,0.3
152,A176PLYJ2VNRII,8,seqNoFeedback,0,0.3,9,1,B,6,14,,,,4.1,yes,3,20,0.3,0.7,0.7
153,A176PLYJ2VNRII,8,seqNoFeedback,1,0.3,9,1,B,6,14,0.42,0.12,0.0,4.1,yes,3,20,0.3,0.7,0.7
154,A176PLYJ2VNRII,9,seqFeedback,0,0.3,1,9,A,6,14,0.23,,,4.1,yes,3,20,0.3,0.3,0.3
155,A176PLYJ2VNRII,9,seqFeedback,1,0.3,1,9,A,7,13,0.28,0.019999999999999962,0.3,4.1,yes,3,20,0.35,0.35,0.3
156,A176PLYJ2VNRII,10,seqFeedback,0,0.7,1,9,A,14,6,0.50,,,4.1,yes,3,20,0.7,0.7,0.7
157,A176PLYJ2VNRII,10,seqFeedback,1,0.7,1,9,A,10,0,0.63,0.06999999999999995,0.4,4.1,yes,3,10,1.0,1.0,0.7
158,A176PLYJ2VNRII,11,seqNoFeedback,0,0.3,1,9,A,6,14,,,,4.1,yes,3,20,0.3,0.3,0.3
159,A176PLYJ2VNRII,11,seqNoFeedback,1,0.3,1,9,A,6,14,0.26,0.03999999999999998,0.3,4.1,yes,3,20,0.3,0.3,0.3
160,A176PLYJ2VNRII,12,seqNoFeedback,0,0.7,9,1,B,14,6,,,,4.1,yes,3,20,0.7,0.30000000000000004,0.3
161,A176PLYJ2VNRII,12,seqNoFeedback,1,0.7,9,1,B,14,6,0.74,0.040000000000000036,0.3,4.1,yes,3,20,0.7,0.30000000000000004,0.3
162,A176PLYJ2VNRII,13,seqFeedback,0,0.3,9,1,B,9,21,0.45,,,4.1,yes,3,30,0.3,0.7,0.7
163,A176PLYJ2VNRII,13,seqFeedback,1,0.3,9,1,B,1,9,0.38,0.08000000000000002,0.3,4.1,yes,3,10,0.1,0.9,0.7
164,A176PLYJ2VNRII,14,seqNoFeedback,0,0.7,1,9,A,21,9,,,,4.1,yes,3,30,0.7,0.7,0.7
165,A176PLYJ2VNRII,14,seqNoFeedback,1,0.7,1,9,A,21,9,0.61,0.08999999999999997,0.0,4.1,yes,3,30,0.7,0.7,0.7
166,A176PLYJ2VNRII,15,nonSeqFull,0,0.3,9,1,B,3,27,0.30,0.0,0.4,4.1,yes,3,30,0.1,0.9,0.7
